,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,model
e[3],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[4],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[5],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[6],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[7],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[8],0.226,0.2,0.0,0.626,0.006,0.004,1023.0,1178.0,1.0,Weibull
e[9],0.377,0.334,0.0,1.043,0.009,0.007,1023.0,1178.0,1.0,Weibull
e[10],0.151,0.133,0.0,0.417,0.004,0.003,1023.0,1178.0,1.0,Weibull
e[11],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[12],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[13],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[14],0.377,0.334,0.0,1.043,0.009,0.007,1023.0,1178.0,1.0,Weibull
e[15],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[16],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[17],0.264,0.234,0.0,0.73,0.007,0.005,1023.0,1178.0,1.0,Weibull
e[18],0.075,0.067,0.0,0.209,0.002,0.001,1023.0,1178.0,1.0,Weibull
e[19],0.113,0.1,0.0,0.313,0.003,0.002,1023.0,1178.0,1.0,Weibull
e[20],0.453,0.4,0.0,1.251,0.011,0.008,1023.0,1178.0,1.0,Weibull
e[21],0.264,0.234,0.0,0.73,0.007,0.005,1023.0,1178.0,1.0,Weibull
e[22],0.113,0.1,0.0,0.313,0.003,0.002,1023.0,1178.0,1.0,Weibull
e[23],0.189,0.167,0.0,0.521,0.005,0.003,1023.0,1178.0,1.0,Weibull
e[24],0.264,0.234,0.0,0.73,0.007,0.005,1023.0,1178.0,1.0,Weibull
e[25],0.189,0.167,0.0,0.521,0.005,0.003,1023.0,1178.0,1.0,Weibull
e[26],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[27],0.226,0.2,0.0,0.626,0.006,0.004,1023.0,1178.0,1.0,Weibull
e[28],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[29],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[30],0.377,0.334,0.0,1.043,0.009,0.007,1023.0,1178.0,1.0,Weibull
e[31],0.264,0.234,0.0,0.73,0.007,0.005,1023.0,1178.0,1.0,Weibull
e[32],0.189,0.167,0.0,0.521,0.005,0.003,1023.0,1178.0,1.0,Weibull
e[33],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[34],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[35],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[36],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[37],0.528,0.467,0.0,1.46,0.013,0.009,1023.0,1178.0,1.0,Weibull
e[38],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[39],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[40],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[41],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[42],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[43],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[44],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[45],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[46],0.264,0.234,0.0,0.73,0.007,0.005,1023.0,1178.0,1.0,Weibull
e[47],0.264,0.234,0.0,0.73,0.007,0.005,1023.0,1178.0,1.0,Weibull
m[0],1.762,0.22,1.344,2.198,0.005,0.003,1981.0,1655.0,1.0,Weibull
m[1],1.762,0.22,1.344,2.198,0.005,0.003,1981.0,1655.0,1.0,Weibull
m[2],1.762,0.22,1.344,2.198,0.005,0.003,1981.0,1655.0,1.0,Weibull
m[3],1.762,0.22,1.344,2.198,0.005,0.003,1981.0,1655.0,1.0,Weibull
m[4],1.762,0.22,1.344,2.198,0.005,0.003,1981.0,1655.0,1.0,Weibull
m[5],1.762,0.22,1.344,2.198,0.005,0.003,1981.0,1655.0,1.0,Weibull
m[6],1.762,0.22,1.344,2.198,0.005,0.003,1981.0,1655.0,1.0,Weibull
m[7],1.762,0.22,1.344,2.198,0.005,0.003,1981.0,1655.0,1.0,Weibull
m[8],1.989,0.249,1.513,2.464,0.005,0.004,2188.0,2157.0,1.0,Weibull
m[9],2.14,0.34,1.527,2.801,0.008,0.006,1746.0,2459.0,1.0,Weibull
m[10],1.913,0.22,1.524,2.362,0.005,0.003,2305.0,2486.0,1.0,Weibull
m[11],1.762,0.22,1.344,2.198,0.005,0.003,1981.0,1655.0,1.0,Weibull
m[12],1.762,0.22,1.344,2.198,0.005,0.003,1981.0,1655.0,1.0,Weibull
m[13],1.762,0.22,1.344,2.198,0.005,0.003,1981.0,1655.0,1.0,Weibull
m[14],2.14,0.34,1.527,2.801,0.008,0.006,1746.0,2459.0,1.0,Weibull
m[15],1.762,0.22,1.344,2.198,0.005,0.003,1981.0,1655.0,1.0,Weibull
m[16],1.762,0.22,1.344,2.198,0.005,0.003,1981.0,1655.0,1.0,Weibull
m[17],2.026,0.269,1.556,2.583,0.006,0.004,2041.0,2338.0,1.0,Weibull
m[18],1.838,0.21,1.472,2.276,0.004,0.003,2202.0,2003.0,1.0,Weibull
m[19],1.876,0.213,1.498,2.308,0.004,0.003,2279.0,2368.0,1.0,Weibull
m[20],2.215,0.395,1.583,3.036,0.01,0.007,1632.0,2312.0,1.0,Weibull
m[21],2.026,0.269,1.556,2.583,0.006,0.004,2041.0,2338.0,1.0,Weibull
m[22],1.876,0.213,1.498,2.308,0.004,0.003,2279.0,2368.0,1.0,Weibull
m[23],1.951,0.233,1.537,2.425,0.005,0.003,2288.0,2482.0,1.0,Weibull
m[24],2.026,0.269,1.556,2.583,0.006,0.004,2041.0,2338.0,1.0,Weibull
m[25],1.951,0.233,1.537,2.425,0.005,0.003,2288.0,2482.0,1.0,Weibull
m[26],1.762,0.22,1.344,2.198,0.005,0.003,1981.0,1655.0,1.0,Weibull
m[27],1.989,0.249,1.513,2.464,0.005,0.004,2188.0,2157.0,1.0,Weibull
m[28],1.762,0.22,1.344,2.198,0.005,0.003,1981.0,1655.0,1.0,Weibull
m[29],1.762,0.22,1.344,2.198,0.005,0.003,1981.0,1655.0,1.0,Weibull
m[30],2.14,0.34,1.527,2.801,0.008,0.006,1746.0,2459.0,1.0,Weibull
m[31],2.026,0.269,1.556,2.583,0.006,0.004,2041.0,2338.0,1.0,Weibull
m[32],1.951,0.233,1.537,2.425,0.005,0.003,2288.0,2482.0,1.0,Weibull
m[33],1.762,0.22,1.344,2.198,0.005,0.003,1981.0,1655.0,1.0,Weibull
m[34],1.762,0.22,1.344,2.198,0.005,0.003,1981.0,1655.0,1.0,Weibull
m[35],1.762,0.22,1.344,2.198,0.005,0.003,1981.0,1655.0,1.0,Weibull
m[36],1.762,0.22,1.344,2.198,0.005,0.003,1981.0,1655.0,1.0,Weibull
m[37],2.29,0.453,1.555,3.185,0.012,0.008,1548.0,2069.0,1.0,Weibull
m[38],1.762,0.22,1.344,2.198,0.005,0.003,1981.0,1655.0,1.0,Weibull
m[39],1.762,0.22,1.344,2.198,0.005,0.003,1981.0,1655.0,1.0,Weibull
m[40],1.762,0.22,1.344,2.198,0.005,0.003,1981.0,1655.0,1.0,Weibull
m[41],1.762,0.22,1.344,2.198,0.005,0.003,1981.0,1655.0,1.0,Weibull
m[42],1.762,0.22,1.344,2.198,0.005,0.003,1981.0,1655.0,1.0,Weibull
m[43],1.762,0.22,1.344,2.198,0.005,0.003,1981.0,1655.0,1.0,Weibull
m[44],1.762,0.22,1.344,2.198,0.005,0.003,1981.0,1655.0,1.0,Weibull
m[45],1.762,0.22,1.344,2.198,0.005,0.003,1981.0,1655.0,1.0,Weibull
